n,E
0.0,1143.1601931715586
1000.0,340.1547738847156
2000.0,114.0670538840136
3000.0,50.38697045838438
4000.0,32.42638198679805
5000.0,27.33657983046885
6000.0,25.870373249388933
7000.0,25.424598806111078
8000.0,25.266442028337792
9000.0,25.18960671204178
10000.0,25.136015514230053
11000.0,25.089315693352887
12000.0,25.044900210391347
13000.0,25.001468491898834
14000.0,24.958650755107897
15000.0,24.91633925755025
16000.0,24.874500049793994
17000.0,24.83311998820693
18000.0,24.79219182155549
19000.0,24.751709994117732
20000.0,24.71166946474517
21000.0,24.672065374503347
22000.0,24.632892952955444
23000.0,24.594147491513297
24000.0,24.555824335603518
25000.0,24.51791888210164
26000.0,24.480426578233505
27000.0,24.443342920887005
28000.0,24.406663456036313
29000.0,24.37038377819954
30000.0,24.334499529911056
31000.0,24.29900640119655
32000.0,24.263900129058527
33000.0,24.229176496962566
34000.0,24.194831334332434
35000.0,24.160860516048444
36000.0,24.12725996195269
37000.0,24.094025636358708
38000.0,24.061153547567358
39000.0,24.02863974738665
40000.0,23.996480330657278
41000.0,23.964671434784577
42000.0,23.933209239274618
43000.0,23.902089965274058
44000.0,23.871309875117447
45000.0,23.840865271878272
46000.0,23.810752498924046
47000.0,23.780967939477705
48000.0,23.75150801618321
49000.0,23.72236919067643
50000.0,23.693547963158665
51000.0,23.665040871977794
52000.0,23.636844493211754
53000.0,23.60895544025749
54000.0,23.58137036342339
55000.0,23.55408594952894
56000.0,23.527098921505285
57000.0,23.500406038001245
58000.0,23.474004092995074
59000.0,23.44788991540929
60000.0,23.42206036872892
61000.0,23.3965123506257
62000.0,23.37124279258512
63000.0,23.346248659537764
64000.0,23.32152694949542
65000.0,23.297074693189018
66000.0,23.272888953713505
67000.0,23.248966826174694
68000.0,23.225305437340012
69000.0,23.201901945293685
70000.0,23.178753539095453
71000.0,23.15585743844241
72000.0,23.13321089333641
73000.0,23.110811183751252
74000.0,23.08865561930952
75000.0,23.06674153895574
76000.0,23.04506631064004
77000.0,23.023627331000228
78000.0,23.00242202504802
79000.0,22.981447845862817
80000.0,22.960702274283165
81000.0,22.94018281860599
82000.0,22.919887014285507
83000.0,22.89981242363899
84000.0,22.879956635552617
85000.0,22.860317265192634
